KANWIL;AREA;CABANG;TIPE;ASPEK;ELEMENT;SCORE
KANWIL MEDAN;AREA RANTAU PRAPAT;CP PEMATANG SIANTAR;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;66,66666667
KANWIL MEDAN;AREA RANTAU PRAPAT;CP PEMATANG SIANTAR;KONVEN;KEBERSIHAN;Interior Kantor Cabang;50
KANWIL MAKASAR;AREA MAKASAR 2;CP PABAENGBAENG;KONVEN;KEBERSIHAN;Kebersihan;95,83333333
KANWIL MAKASAR;AREA MAKASAR 2;CP PABAENGBAENG;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;91,66666667
KANWIL MAKASAR;AREA MAKASAR 2;CP PABAENGBAENG;KONVEN;KEBERSIHAN;Interior Kantor Cabang;100
KANWIL MAKASAR;AREA MAKASAR 1;CP PASAR BUTUNG;KONVEN;KEBERSIHAN;Kebersihan;100
KANWIL MAKASAR;AREA MAKASAR 1;CP PASAR BUTUNG;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL MAKASAR;AREA MAKASAR 1;CP PASAR BUTUNG;KONVEN;KEBERSIHAN;Interior Kantor Cabang;100
KANWIL MEDAN;AREA RANTAU PRAPAT;CP PARLUASAN;KONVEN;KEBERSIHAN;Kebersihan;87,5
KANWIL MEDAN;AREA RANTAU PRAPAT;CP PARLUASAN;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;75
KANWIL MEDAN;AREA RANTAU PRAPAT;CP PARLUASAN;KONVEN;KEBERSIHAN;Interior Kantor Cabang;100
KANWIL MAKASAR;AREA MAKASAR 2;CP HERTASNING;KONVEN;KEBERSIHAN;Kebersihan;100
KANWIL MAKASAR;AREA MAKASAR 2;CP HERTASNING;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL MAKASAR;AREA MAKASAR 2;CP HERTASNING;KONVEN;KEBERSIHAN;Interior Kantor Cabang;100
KANWIL MAKASAR;AREA MAKASAR 2;CP TALASALAPANG;KONVEN;KEBERSIHAN;Kebersihan;91,66666667
KANWIL MAKASAR;AREA MAKASAR 2;CP TALASALAPANG;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;83,33333333
KANWIL MAKASAR;AREA MAKASAR 2;CP TALASALAPANG;KONVEN;KEBERSIHAN;Interior Kantor Cabang;100
KANWIL MEDAN;AREA MEDAN 2;CP PERBAUNGAN;KONVEN;KEBERSIHAN;Kebersihan;
KANWIL MEDAN;AREA MEDAN 2;CP PERBAUNGAN;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;
KANWIL MEDAN;AREA MEDAN 2;CP PERBAUNGAN;KONVEN;KEBERSIHAN;Interior Kantor Cabang;
KANWIL BANDUNG;AREA CIREBON;CP JAMBLANG;KONVEN;KEBERSIHAN;Kebersihan;98,07692308
KANWIL BANDUNG;AREA CIREBON;CP JAMBLANG;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL BANDUNG;AREA CIREBON;CP JAMBLANG;KONVEN;KEBERSIHAN;Interior Kantor Cabang;96,15384615
KANWIL MEDAN;AREA MEDAN 2;CP SERBALAWAN;KONVEN;KEBERSIHAN;Kebersihan;94,23076923
KANWIL MEDAN;AREA MEDAN 2;CP SERBALAWAN;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL MEDAN;AREA MEDAN 2;CP SERBALAWAN;KONVEN;KEBERSIHAN;Interior Kantor Cabang;88,46153846
KANWIL MAKASAR;AREA MAKASAR 2;CP MAKASSAR;KONVEN;KEBERSIHAN;Kebersihan;100
KANWIL MAKASAR;AREA MAKASAR 2;CP MAKASSAR;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL MAKASAR;AREA MAKASAR 2;CP MAKASSAR;KONVEN;KEBERSIHAN;Interior Kantor Cabang;100
KANWIL BANDUNG;AREA BANDUNG 1;CP GEGERKALONG;KONVEN;KEBERSIHAN;Kebersihan;100
KANWIL BANDUNG;AREA BANDUNG 1;CP GEGERKALONG;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL BANDUNG;AREA BANDUNG 1;CP GEGERKALONG;KONVEN;KEBERSIHAN;Interior Kantor Cabang;100
KANWIL MEDAN;AREA RANTAU PRAPAT;CP PADANG SIDEMPUAN;KONVEN;KEBERSIHAN;Kebersihan;98,07692308
KANWIL MEDAN;AREA RANTAU PRAPAT;CP PADANG SIDEMPUAN;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL MEDAN;AREA RANTAU PRAPAT;CP PADANG SIDEMPUAN;KONVEN;KEBERSIHAN;Interior Kantor Cabang;96,15384615
KANWIL JAKARTA 1;AREA JATIWARINGIN;CP PLAZA PONDOK GEDE;KONVEN;KEBERSIHAN;Kebersihan;100
KANWIL JAKARTA 1;AREA JATIWARINGIN;CP PLAZA PONDOK GEDE;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL JAKARTA 1;AREA JATIWARINGIN;CP PLAZA PONDOK GEDE;KONVEN;KEBERSIHAN;Interior Kantor Cabang;100
KANWIL JAKARTA 1;AREA JATIWARINGIN;CP JATIWARINGIN;KONVEN;KEBERSIHAN;Kebersihan;100
KANWIL JAKARTA 1;AREA JATIWARINGIN;CP JATIWARINGIN;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL JAKARTA 1;AREA JATIWARINGIN;CP JATIWARINGIN;KONVEN;KEBERSIHAN;Interior Kantor Cabang;100
KANWIL JAKARTA 1;AREA BEKASI;CP KALIMALANG;KONVEN;KEBERSIHAN;Kebersihan;100
KANWIL JAKARTA 1;AREA BEKASI;CP KALIMALANG;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL JAKARTA 1;AREA BEKASI;CP KALIMALANG;KONVEN;KEBERSIHAN;Interior Kantor Cabang;100
KANWIL JAKARTA 1;AREA JATIWARINGIN;CP PONDOK BAMBU;KONVEN;KEBERSIHAN;Kebersihan;100
KANWIL JAKARTA 1;AREA JATIWARINGIN;CP PONDOK BAMBU;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL JAKARTA 1;AREA JATIWARINGIN;CP PONDOK BAMBU;KONVEN;KEBERSIHAN;Interior Kantor Cabang;100
KANWIL JAKARTA 1;AREA JATIWARINGIN;CP HARAPAN INDAH;KONVEN;KEBERSIHAN;Kebersihan;89,90384615
KANWIL JAKARTA 1;AREA JATIWARINGIN;CP HARAPAN INDAH;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;91,66666667
KANWIL JAKARTA 1;AREA JATIWARINGIN;CP HARAPAN INDAH;KONVEN;KEBERSIHAN;Interior Kantor Cabang;88,14102564
KANWIL BANDUNG;AREA CIREBON;CP PLERED;KONVEN;KEBERSIHAN;Kebersihan;100
KANWIL BANDUNG;AREA CIREBON;CP PLERED;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL BANDUNG;AREA CIREBON;CP PLERED;KONVEN;KEBERSIHAN;Interior Kantor Cabang;100
KANWIL MAKASAR;AREA MAKASAR 1;CP SUDIANG;KONVEN;KEBERSIHAN;Kebersihan;85,8974359
KANWIL MAKASAR;AREA MAKASAR 1;CP SUDIANG;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;83,33333333
KANWIL MAKASAR;AREA MAKASAR 1;CP SUDIANG;KONVEN;KEBERSIHAN;Interior Kantor Cabang;88,46153846
KANWIL JAKARTA 1;AREA BEKASI;CPS METRO BOULEVARD CIKARANG;SYARIAH;KEBERSIHAN;Kebersihan;100
KANWIL JAKARTA 1;AREA BEKASI;CPS METRO BOULEVARD CIKARANG;SYARIAH;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL JAKARTA 1;AREA BEKASI;CPS METRO BOULEVARD CIKARANG;SYARIAH;KEBERSIHAN;Interior Kantor Cabang;100
KANWIL MAKASAR;AREA MAKASAR 1;CP ANTANG;KONVEN;KEBERSIHAN;Kebersihan;100
KANWIL MAKASAR;AREA MAKASAR 1;CP ANTANG;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL MAKASAR;AREA MAKASAR 1;CP ANTANG;KONVEN;KEBERSIHAN;Interior Kantor Cabang;100
KANWIL BANDUNG;AREA TASIKMALAYA;CPS GUNTUR GARUT;SYARIAH;KEBERSIHAN;Kebersihan;100
KANWIL BANDUNG;AREA TASIKMALAYA;CPS GUNTUR GARUT;SYARIAH;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL BANDUNG;AREA TASIKMALAYA;CPS GUNTUR GARUT;SYARIAH;KEBERSIHAN;Interior Kantor Cabang;100
KANWIL MAKASAR;AREA AMBON;CP NUSANIWE;KONVEN;KEBERSIHAN;Kebersihan;75,32051282
KANWIL MAKASAR;AREA AMBON;CP NUSANIWE;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;58,33333333
KANWIL MAKASAR;AREA AMBON;CP NUSANIWE;KONVEN;KEBERSIHAN;Interior Kantor Cabang;92,30769231
KANWIL BANDUNG;AREA TASIKMALAYA;CP JATIWANGI;KONVEN;KEBERSIHAN;Kebersihan;93,91025641
KANWIL BANDUNG;AREA TASIKMALAYA;CP JATIWANGI;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;91,66666667
KANWIL BANDUNG;AREA TASIKMALAYA;CP JATIWANGI;KONVEN;KEBERSIHAN;Interior Kantor Cabang;96,15384615
KANWIL MEDAN;AREA RANTAU PRAPAT;CP SIBOLGA;KONVEN;KEBERSIHAN;Kebersihan;98,07692308
KANWIL MEDAN;AREA RANTAU PRAPAT;CP SIBOLGA;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL MEDAN;AREA RANTAU PRAPAT;CP SIBOLGA;KONVEN;KEBERSIHAN;Interior Kantor Cabang;96,15384615
KANWIL BANDUNG;AREA TASIKMALAYA;CP GARUT;KONVEN;KEBERSIHAN;Kebersihan;96,15384615
KANWIL BANDUNG;AREA TASIKMALAYA;CP GARUT;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL BANDUNG;AREA TASIKMALAYA;CP GARUT;KONVEN;KEBERSIHAN;Interior Kantor Cabang;92,30769231
KANWIL BANDUNG;AREA TASIKMALAYA;CP CIBATU;KONVEN;KEBERSIHAN;Kebersihan;100
KANWIL BANDUNG;AREA TASIKMALAYA;CP CIBATU;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL BANDUNG;AREA TASIKMALAYA;CP CIBATU;KONVEN;KEBERSIHAN;Interior Kantor Cabang;100
KANWIL MEDAN;AREA MEDAN 1;CP KABANJAHE;KONVEN;KEBERSIHAN;Kebersihan;98,07692308
KANWIL MEDAN;AREA MEDAN 1;CP KABANJAHE;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL MEDAN;AREA MEDAN 1;CP KABANJAHE;KONVEN;KEBERSIHAN;Interior Kantor Cabang;96,15384615
KANWIL BANDUNG;AREA BANDUNG 1;CP PADALARANG;KONVEN;KEBERSIHAN;Kebersihan;83,33333333
KANWIL BANDUNG;AREA BANDUNG 1;CP PADALARANG;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;83,33333333
KANWIL BANDUNG;AREA BANDUNG 1;CP PADALARANG;KONVEN;KEBERSIHAN;Interior Kantor Cabang;83,33333333
KANWIL BANDUNG;AREA CIREBON;CP KLAYAN;KONVEN;KEBERSIHAN;Kebersihan;100
KANWIL BANDUNG;AREA CIREBON;CP KLAYAN;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL BANDUNG;AREA CIREBON;CP KLAYAN;KONVEN;KEBERSIHAN;Interior Kantor Cabang;100
KANWIL BANDUNG;AREA TASIKMALAYA;CP KUNINGAN;KONVEN;KEBERSIHAN;Kebersihan;100
KANWIL BANDUNG;AREA TASIKMALAYA;CP KUNINGAN;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL BANDUNG;AREA TASIKMALAYA;CP KUNINGAN;KONVEN;KEBERSIHAN;Interior Kantor Cabang;100
KANWIL BANDUNG;AREA TASIKMALAYA;CP CILIMUS;KONVEN;KEBERSIHAN;Kebersihan;100
KANWIL BANDUNG;AREA TASIKMALAYA;CP CILIMUS;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL BANDUNG;AREA TASIKMALAYA;CP CILIMUS;KONVEN;KEBERSIHAN;Interior Kantor Cabang;100
KANWIL BANDUNG;AREA CIREBON;CP CIREBON;KONVEN;KEBERSIHAN;Kebersihan;
KANWIL BANDUNG;AREA CIREBON;CP CIREBON;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;
KANWIL BANDUNG;AREA CIREBON;CP CIREBON;KONVEN;KEBERSIHAN;Interior Kantor Cabang;
KANWIL MAKASAR;AREA KENDARI;CP WUA WUA;KONVEN;KEBERSIHAN;Kebersihan;100
KANWIL MAKASAR;AREA KENDARI;CP WUA WUA;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL MAKASAR;AREA KENDARI;CP WUA WUA;KONVEN;KEBERSIHAN;Interior Kantor Cabang;100
KANWIL BANDUNG;AREA TASIKMALAYA;CP TASIKMALAYA;KONVEN;KEBERSIHAN;Kebersihan;100
KANWIL BANDUNG;AREA TASIKMALAYA;CP TASIKMALAYA;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL BANDUNG;AREA TASIKMALAYA;CP TASIKMALAYA;KONVEN;KEBERSIHAN;Interior Kantor Cabang;100
KANWIL MEDAN;AREA BANDA ACEH;CPS TAPAK TUAN;SYARIAH;KEBERSIHAN;Kebersihan;100
KANWIL MEDAN;AREA BANDA ACEH;CPS TAPAK TUAN;SYARIAH;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL MEDAN;AREA BANDA ACEH;CPS TAPAK TUAN;SYARIAH;KEBERSIHAN;Interior Kantor Cabang;100
KANWIL BANDUNG;AREA CIREBON;CP CILEDUG;KONVEN;KEBERSIHAN;Kebersihan;
KANWIL BANDUNG;AREA CIREBON;CP CILEDUG;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;
KANWIL BANDUNG;AREA CIREBON;CP CILEDUG;KONVEN;KEBERSIHAN;Interior Kantor Cabang;
KANWIL BANDUNG;AREA CIREBON;CP LOSARI;KONVEN;KEBERSIHAN;Kebersihan;
KANWIL BANDUNG;AREA CIREBON;CP LOSARI;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;
KANWIL BANDUNG;AREA CIREBON;CP LOSARI;KONVEN;KEBERSIHAN;Interior Kantor Cabang;
KANWIL MEDAN;AREA BANDA ACEH;CPS LANGSA;SYARIAH;KEBERSIHAN;Kebersihan;95,83333333
KANWIL MEDAN;AREA BANDA ACEH;CPS LANGSA;SYARIAH;KEBERSIHAN;Eksterior Kantor Cabang;91,66666667
KANWIL MEDAN;AREA BANDA ACEH;CPS LANGSA;SYARIAH;KEBERSIHAN;Interior Kantor Cabang;100
KANWIL MEDAN;AREA BANDA ACEH;CPS KUALA SIMPANG;SYARIAH;KEBERSIHAN;Kebersihan;100
KANWIL MEDAN;AREA BANDA ACEH;CPS KUALA SIMPANG;SYARIAH;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL MEDAN;AREA BANDA ACEH;CPS KUALA SIMPANG;SYARIAH;KEBERSIHAN;Interior Kantor Cabang;100
KANWIL BANDUNG;AREA BANDUNG 2;CP BUAH BATU;KONVEN;KEBERSIHAN;Kebersihan;100
KANWIL BANDUNG;AREA BANDUNG 2;CP BUAH BATU;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL BANDUNG;AREA BANDUNG 2;CP BUAH BATU;KONVEN;KEBERSIHAN;Interior Kantor Cabang;100
KANWIL BANDUNG;AREA TASIKMALAYA;CP MAJALENGKA;KONVEN;KEBERSIHAN;Kebersihan;100
KANWIL BANDUNG;AREA TASIKMALAYA;CP MAJALENGKA;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL BANDUNG;AREA TASIKMALAYA;CP MAJALENGKA;KONVEN;KEBERSIHAN;Interior Kantor Cabang;100
KANWIL JAKARTA 1;AREA BOGOR;CP BOJONGSARI;KONVEN;KEBERSIHAN;Kebersihan;100
KANWIL JAKARTA 1;AREA BOGOR;CP BOJONGSARI;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL JAKARTA 1;AREA BOGOR;CP BOJONGSARI;KONVEN;KEBERSIHAN;Interior Kantor Cabang;100
KANWIL JAKARTA 1;AREA BOGOR;CP KEDUNGHALANG;KONVEN;KEBERSIHAN;Kebersihan;100
KANWIL JAKARTA 1;AREA BOGOR;CP KEDUNGHALANG;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL JAKARTA 1;AREA BOGOR;CP KEDUNGHALANG;KONVEN;KEBERSIHAN;Interior Kantor Cabang;100
KANWIL JAKARTA 1;AREA BOGOR;CP PASAR MAWAR;KONVEN;KEBERSIHAN;Kebersihan;
KANWIL JAKARTA 1;AREA BOGOR;CP PASAR MAWAR;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;
KANWIL JAKARTA 1;AREA BOGOR;CP PASAR MAWAR;KONVEN;KEBERSIHAN;Interior Kantor Cabang;
KANWIL JAKARTA 1;AREA BOGOR;CPS BOGOR BARU;SYARIAH;KEBERSIHAN;Kebersihan;
KANWIL JAKARTA 1;AREA BOGOR;CPS BOGOR BARU;SYARIAH;KEBERSIHAN;Eksterior Kantor Cabang;
KANWIL JAKARTA 1;AREA BOGOR;CPS BOGOR BARU;SYARIAH;KEBERSIHAN;Interior Kantor Cabang;
KANWIL JAKARTA 1;AREA KRAMATJATI;CP KOTA WISATA;KONVEN;KEBERSIHAN;Kebersihan;96,15384615
KANWIL JAKARTA 1;AREA KRAMATJATI;CP KOTA WISATA;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL JAKARTA 1;AREA KRAMATJATI;CP KOTA WISATA;KONVEN;KEBERSIHAN;Interior Kantor Cabang;92,30769231
KANWIL MAKASAR;AREA MAKASAR 1;CP PELITA;KONVEN;KEBERSIHAN;Kebersihan;96,15384615
KANWIL MAKASAR;AREA MAKASAR 1;CP PELITA;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL MAKASAR;AREA MAKASAR 1;CP PELITA;KONVEN;KEBERSIHAN;Interior Kantor Cabang;92,30769231
KANWIL MEDAN;AREA RANTAU PRAPAT;CP T B ASAHAN;KONVEN;KEBERSIHAN;Kebersihan;96,15384615
KANWIL MEDAN;AREA RANTAU PRAPAT;CP T B ASAHAN;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL MEDAN;AREA RANTAU PRAPAT;CP T B ASAHAN;KONVEN;KEBERSIHAN;Interior Kantor Cabang;92,30769231
KANWIL BANDUNG;AREA BANDUNG 2;CP UJUNGBERUNG;KONVEN;KEBERSIHAN;Kebersihan;100
KANWIL BANDUNG;AREA BANDUNG 2;CP UJUNGBERUNG;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL BANDUNG;AREA BANDUNG 2;CP UJUNGBERUNG;KONVEN;KEBERSIHAN;Interior Kantor Cabang;100
KANWIL MAKASAR;AREA MAKASAR 1;CP MAROS;KONVEN;KEBERSIHAN;Kebersihan;85,8974359
KANWIL MAKASAR;AREA MAKASAR 1;CP MAROS;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;83,33333333
KANWIL MAKASAR;AREA MAKASAR 1;CP MAROS;KONVEN;KEBERSIHAN;Interior Kantor Cabang;88,46153846
KANWIL MEDAN;AREA RANTAU PRAPAT;CPS RANTAU PRAPAT;SYARIAH;KEBERSIHAN;Kebersihan;54,16666667
KANWIL MEDAN;AREA RANTAU PRAPAT;CPS RANTAU PRAPAT;SYARIAH;KEBERSIHAN;Eksterior Kantor Cabang;50
KANWIL MEDAN;AREA RANTAU PRAPAT;CPS RANTAU PRAPAT;SYARIAH;KEBERSIHAN;Interior Kantor Cabang;58,33333333
KANWIL PALEMBANG;AREA LAMPUNG;CP METRO;KONVEN;KEBERSIHAN;Kebersihan;100
KANWIL PALEMBANG;AREA LAMPUNG;CP METRO;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL PALEMBANG;AREA LAMPUNG;CP METRO;KONVEN;KEBERSIHAN;Interior Kantor Cabang;100
KANWIL MAKASAR;AREA MAKASAR 2;CP LIMBUNG;KONVEN;KEBERSIHAN;Kebersihan;88,46153846
KANWIL MAKASAR;AREA MAKASAR 2;CP LIMBUNG;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL MAKASAR;AREA MAKASAR 2;CP LIMBUNG;KONVEN;KEBERSIHAN;Interior Kantor Cabang;76,92307692
KANWIL MEDAN;AREA MEDAN 2;CP TANJUNG MORAWA;KONVEN;KEBERSIHAN;Kebersihan;85,41666667
KANWIL MEDAN;AREA MEDAN 2;CP TANJUNG MORAWA;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;83,33333333
KANWIL MEDAN;AREA MEDAN 2;CP TANJUNG MORAWA;KONVEN;KEBERSIHAN;Interior Kantor Cabang;87,5
KANWIL MEDAN;AREA RANTAU PRAPAT;CP KISARAN;KONVEN;KEBERSIHAN;Kebersihan;100
KANWIL MEDAN;AREA RANTAU PRAPAT;CP KISARAN;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL MEDAN;AREA RANTAU PRAPAT;CP KISARAN;KONVEN;KEBERSIHAN;Interior Kantor Cabang;100
KANWIL JAKARTA 1;AREA BOGOR;CPS MARGONDA;SYARIAH;KEBERSIHAN;Kebersihan;100
KANWIL JAKARTA 1;AREA BOGOR;CPS MARGONDA;SYARIAH;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL JAKARTA 1;AREA BOGOR;CPS MARGONDA;SYARIAH;KEBERSIHAN;Interior Kantor Cabang;100
KANWIL MAKASAR;AREA PARE-PARE;CP PARE PARE;KONVEN;KEBERSIHAN;Kebersihan;100
KANWIL MAKASAR;AREA PARE-PARE;CP PARE PARE;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL MAKASAR;AREA PARE-PARE;CP PARE PARE;KONVEN;KEBERSIHAN;Interior Kantor Cabang;100
KANWIL MAKASAR;AREA PARE-PARE;CP PINRANG;KONVEN;KEBERSIHAN;Kebersihan;100
KANWIL MAKASAR;AREA PARE-PARE;CP PINRANG;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL MAKASAR;AREA PARE-PARE;CP PINRANG;KONVEN;KEBERSIHAN;Interior Kantor Cabang;100
KANWIL BANDUNG;AREA CIREBON;CP INDRAMAYU;KONVEN;KEBERSIHAN;Kebersihan;
KANWIL BANDUNG;AREA CIREBON;CP INDRAMAYU;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;
KANWIL BANDUNG;AREA CIREBON;CP INDRAMAYU;KONVEN;KEBERSIHAN;Interior Kantor Cabang;
KANWIL BANDUNG;AREA CIREBON;CP JATIBARANG;KONVEN;KEBERSIHAN;Kebersihan;91,98717949
KANWIL BANDUNG;AREA CIREBON;CP JATIBARANG;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;91,66666667
KANWIL BANDUNG;AREA CIREBON;CP JATIBARANG;KONVEN;KEBERSIHAN;Interior Kantor Cabang;92,30769231
KANWIL MEDAN;AREA BANDA ACEH;CPS BIREUEN;SYARIAH;KEBERSIHAN;Kebersihan;97,91666667
KANWIL MEDAN;AREA BANDA ACEH;CPS BIREUEN;SYARIAH;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL MEDAN;AREA BANDA ACEH;CPS BIREUEN;SYARIAH;KEBERSIHAN;Interior Kantor Cabang;95,83333333
KANWIL MAKASAR;AREA MAKASAR 1;CP VETERAN;KONVEN;KEBERSIHAN;Kebersihan;100
KANWIL MAKASAR;AREA MAKASAR 1;CP VETERAN;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL MAKASAR;AREA MAKASAR 1;CP VETERAN;KONVEN;KEBERSIHAN;Interior Kantor Cabang;100
KANWIL MEDAN;AREA RANTAU PRAPAT;CP TARUTUNG;KONVEN;KEBERSIHAN;Kebersihan;90,06410256
KANWIL MEDAN;AREA RANTAU PRAPAT;CP TARUTUNG;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;91,66666667
KANWIL MEDAN;AREA RANTAU PRAPAT;CP TARUTUNG;KONVEN;KEBERSIHAN;Interior Kantor Cabang;88,46153846
KANWIL BANDUNG;AREA BANDUNG 2;CPS PADASUKA;SYARIAH;KEBERSIHAN;Kebersihan;100
KANWIL BANDUNG;AREA BANDUNG 2;CPS PADASUKA;SYARIAH;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL BANDUNG;AREA BANDUNG 2;CPS PADASUKA;SYARIAH;KEBERSIHAN;Interior Kantor Cabang;100
KANWIL MAKASAR;AREA MAKASAR 2;CP TAKALAR;KONVEN;KEBERSIHAN;Kebersihan;100
KANWIL MAKASAR;AREA MAKASAR 2;CP TAKALAR;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL MAKASAR;AREA MAKASAR 2;CP TAKALAR;KONVEN;KEBERSIHAN;Interior Kantor Cabang;100
KANWIL MAKASAR;AREA PARE-PARE;CP RAPPANG;KONVEN;KEBERSIHAN;Kebersihan;100
KANWIL MAKASAR;AREA PARE-PARE;CP RAPPANG;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL MAKASAR;AREA PARE-PARE;CP RAPPANG;KONVEN;KEBERSIHAN;Interior Kantor Cabang;100
KANWIL MEDAN;AREA MEDAN 1;CP SIDIKALANG;KONVEN;KEBERSIHAN;Kebersihan;100
KANWIL MEDAN;AREA MEDAN 1;CP SIDIKALANG;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL MEDAN;AREA MEDAN 1;CP SIDIKALANG;KONVEN;KEBERSIHAN;Interior Kantor Cabang;100
KANWIL MAKASAR;AREA MAKASAR 2;CP BANGKALA;KONVEN;KEBERSIHAN;Kebersihan;96,15384615
KANWIL MAKASAR;AREA MAKASAR 2;CP BANGKALA;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL MAKASAR;AREA MAKASAR 2;CP BANGKALA;KONVEN;KEBERSIHAN;Interior Kantor Cabang;92,30769231
KANWIL MAKASAR;AREA BANTAENG;CP JENEPONTO;KONVEN;KEBERSIHAN;Kebersihan;96,15384615
KANWIL MAKASAR;AREA BANTAENG;CP JENEPONTO;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL MAKASAR;AREA BANTAENG;CP JENEPONTO;KONVEN;KEBERSIHAN;Interior Kantor Cabang;92,30769231
KANWIL JAKARTA 1;AREA BOGOR;CP CIBINONG;KONVEN;KEBERSIHAN;Kebersihan;100
KANWIL JAKARTA 1;AREA BOGOR;CP CIBINONG;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;100
KANWIL JAKARTA 1;AREA BOGOR;CP CIBINONG;KONVEN;KEBERSIHAN;Interior Kantor Cabang;100
KANWIL MAKASAR;AREA MAKASAR 1;CP BARRU;KONVEN;KEBERSIHAN;Kebersihan;65,70512821
KANWIL MAKASAR;AREA MAKASAR 1;CP BARRU;KONVEN;KEBERSIHAN;Eksterior Kantor Cabang;58,33333333
KANWIL MAKASAR;AREA MAKASAR 1;CP BARRU;KONVEN;KEBERSIHAN;Interior Kantor Cabang;73,07692308
KANWIL MAKASAR;AREA KENDARI;CP KENDARI;KONVEN;KEBERSIHAN;Kebersihan;
