KANWIL;AREA;CABANG;KATEGORI;ASPEK;ELEMENT;SCORE
KANWIL MEDAN; AREA BANDA ACEH;CPS BLANG PIDIE;cabang;TOTAL;Total Score;81.22
KANWIL MEDAN; AREA BANDA ACEH;CPS TAPAK TUAN;cabang;TOTAL;Total Score;84.12
KANWIL MAKASAR; AREA AMBON;CP PASSO;cabang;TOTAL;Total Score;88.73
KANWIL MAKASAR; AREA AMBON;CP AMBON;cabang;TOTAL;Total Score;77.37
KANWIL MEDAN; AREA RANTAU PRAPAT;CP KISARAN;cabang;TOTAL;Total Score;70.3
KANWIL BALIKPAPAN; AREA BALIKPAPAN;CPS GUNUNG SARI;cabang;TOTAL;Total Score;75.92
KANWIL BALIKPAPAN; AREA BALIKPAPAN;CP RAPAK;cabang;TOTAL;Total Score;79.98
KANWIL BALIKPAPAN; AREA BALIKPAPAN;CP KAMPUNG BARU;cabang;TOTAL;Total Score;80.99
KANWIL PALEMBANG; AREA LAMPUNG;CP TELUK BETUNG;cabang;TOTAL;Total Score;84.33
KANWIL PALEMBANG; AREA LAMPUNG;CP KEDATON;cabang;TOTAL;Total Score;79.67
KANWIL BANDUNG; AREA BANDUNG 2;CP KIARACONDONG;cabang;TOTAL;Total Score;74.52
KANWIL BANDUNG; AREA BANDUNG 1;CP GEGERKALONG;cabang;TOTAL;Total Score;86.61
KANWIL BANDUNG; AREA BANDUNG 2;CP CIPARAY;cabang;TOTAL;Total Score;82.88
KANWIL BANDUNG; AREA BANDUNG 2;CP PASAR BANJARAN;cabang;TOTAL;Total Score;83.99
KANWIL BANDUNG; AREA BANDUNG 2;CP METRO;cabang;TOTAL;Total Score;83.71
KANWIL BANDUNG; AREA BANDUNG 2;CP BUAH BATU;cabang;TOTAL;Total Score;83.68
KANWIL BANDUNG; AREA BANDUNG 2;CP SAYATI;cabang;TOTAL;Total Score;85.18
KANWIL BANDUNG; AREA BANDUNG 1;CP PUNGKUR;cabang;TOTAL;Total Score;85.84
KANWIL BANDUNG; AREA BANDUNG 1;CP PADALARANG;cabang;TOTAL;Total Score;75.25
KANWIL SURABAYA; AREA PAMEKASAN;CPS BLEGA;cabang;TOTAL;Total Score;68.2
KANWIL SURABAYA; AREA PAMEKASAN;CPS BANGKALAN;cabang;TOTAL;Total Score;78.36
KANWIL BANDUNG; AREA TASIKMALAYA;CP BANJAR;cabang;TOTAL;Total Score;80.15
KANWIL BALIKPAPAN; AREA BANJARMASIN;CP BANJARMASIN;cabang;TOTAL;Total Score;71.74
KANWIL SEMARANG; AREA YOGYAKARTA;CP BANTUL;cabang;TOTAL;Total Score;81.62
KANWIL SEMARANG; AREA PURWOKERTO;CP PURWOKERTO;cabang;TOTAL;Total Score;90.04
KANWIL SEMARANG; AREA PURWOKERTO;CPS PASAR WAGE;cabang;TOTAL;Total Score;88.78
KANWIL PEKANBARU; AREA BATAM;CPS KARINA;cabang;TOTAL;Total Score;93.87
KANWIL PEKANBARU; AREA BATAM;CP SEI JODOH;cabang;TOTAL;Total Score;76.8
KANWIL PEKANBARU; AREA BATAM;CP NAGOYA;cabang;TOTAL;Total Score;77.33
KANWIL PEKANBARU; AREA BATAM;CP BATU AJI;cabang;TOTAL;Total Score;83.51
KANWIL SEMARANG; AREA TEGAL;CP BATANG;cabang;TOTAL;Total Score;77.8
KANWIL JAKARTA 1; AREA BEKASI;CPS ISLAMIC CENTRE;cabang;TOTAL;Total Score;79.18
KANWIL JAKARTA 1; AREA JATIWARINGIN;CP JATIWARINGIN;cabang;TOTAL;Total Score;82.7
KANWIL JAKARTA 1; AREA JATIWARINGIN;CP KEMANG PRATAMA;cabang;TOTAL;Total Score;81.27
KANWIL JAKARTA 1; AREA JATIWARINGIN;CP HARAPAN INDAH;cabang;TOTAL;Total Score;71.56
KANWIL JAKARTA 1; AREA BEKASI;CP BEKASI TIMUR;cabang;TOTAL;Total Score;80.66
KANWIL JAKARTA 1; AREA BEKASI;CP BEKASI UTAMA;cabang;TOTAL;Total Score;76.04
KANWIL JAKARTA 1; AREA JATIWARINGIN;CP GALAXI;cabang;TOTAL;Total Score;76.12
KANWIL PALEMBANG; AREA PALEMBANG;CP TANJUNG PANDAN;cabang;TOTAL;Total Score;75.25
KANWIL PEKANBARU; AREA PEKANBARU;CP DURI;cabang;TOTAL;Total Score;78.13
KANWIL PALEMBANG; AREA JAMBI;CP BENGKULU;cabang;TOTAL;Total Score;90.41
KANWIL SEMARANG; AREA PATI;CP BLORA;cabang;TOTAL;Total Score;91.23
KANWIL JAKARTA 1; AREA BOGOR;CP BOGOR;cabang;TOTAL;Total Score;83.84
KANWIL JAKARTA 1; AREA BOGOR;CP CIBINONG;cabang;TOTAL;Total Score;69.91
KANWIL JAKARTA 1; AREA BOGOR;CP GUNUNG BATU;cabang;TOTAL;Total Score;83.16
KANWIL JAKARTA 1; AREA BOGOR;CPS BOGOR BARU;cabang;TOTAL;Total Score;91.98
KANWIL JAKARTA 1; AREA BOGOR;CP KEDUNGHALANG;cabang;TOTAL;Total Score;79.55
KANWIL SURABAYA; AREA JEMBER;CP BONDOWOSO;cabang;TOTAL;Total Score;73.63
KANWIL BALIKPAPAN; AREA TARAKAN;CPS BONTANG;cabang;TOTAL;Total Score;75.13
KANWIL BALIKPAPAN; AREA TARAKAN;CP BONTANG;cabang;TOTAL;Total Score;70.6
KANWIL SEMARANG; AREA PURWOKERTO;CP BUMIAYU;cabang;TOTAL;Total Score;84.11
KANWIL SEMARANG; AREA TEGAL;CP BREBES;cabang;TOTAL;Total Score;83.12
KANWIL MAKASAR; AREA BANTAENG;CPS UJUNG BULU;cabang;TOTAL;Total Score;95.47
KANWIL MAKASAR; AREA BANTAENG;CP BONTOBAHARI;cabang;TOTAL;Total Score;98.47
KANWIL MAKASAR; AREA BANTAENG;CP BULUKUMBA;cabang;TOTAL;Total Score;97.92
KANWIL BANDUNG; AREA BANDUNG 1;CP CIANJUR;cabang;TOTAL;Total Score;83.61
KANWIL SEMARANG; AREA PURWOKERTO;CP CILACAP;cabang;TOTAL;Total Score;77.16
KANWIL JAKARTA 2; AREA TANGERANG;CP CILEGON;cabang;TOTAL;Total Score;85.16
KANWIL BANDUNG; AREA BANDUNG 1;CP CIMINDI;cabang;TOTAL;Total Score;82.33
KANWIL BANDUNG; AREA BANDUNG 1;CP CIMAHI;cabang;TOTAL;Total Score;80.07
KANWIL BANDUNG; AREA CIREBON;CP LOSARI;cabang;TOTAL;Total Score;88.13
KANWIL BANDUNG; AREA CIREBON;CP KLAYAN;cabang;TOTAL;Total Score;93.77
KANWIL BANDUNG; AREA CIREBON;CP PLERED;cabang;TOTAL;Total Score;85.92
KANWIL MEDAN; AREA MEDAN 1;CP SIDIKALANG;cabang;TOTAL;Total Score;74.15
KANWIL MEDAN; AREA MEDAN 1;CP PANCUR BATU;cabang;TOTAL;Total Score;77.38
KANWIL MEDAN; AREA MEDAN 2;CP LUBUK PAKAM;cabang;TOTAL;Total Score;68.89
KANWIL MEDAN; AREA MEDAN 2;CP TANJUNG MORAWA;cabang;TOTAL;Total Score;81.12
KANWIL DENPASAR; AREA DENPASAR 2;CP RENON;cabang;TOTAL;Total Score;87.39
KANWIL DENPASAR; AREA DENPASAR 2;CP KRENENG;cabang;TOTAL;Total Score;86.72
KANWIL DENPASAR; AREA DENPASAR 2;CP TOHPATI;cabang;TOTAL;Total Score;79.27
KANWIL DENPASAR; AREA DENPASAR 2;CPS GATOT SUBROTO;cabang;TOTAL;Total Score;77.33
KANWIL JAKARTA 1; AREA BOGOR;CP CISALAK;cabang;TOTAL;Total Score;75.1
KANWIL JAKARTA 1; AREA BOGOR;CP PANCORAN MAS;cabang;TOTAL;Total Score;77.23
KANWIL DENPASAR; AREA DOMPU;CP DOMPU;cabang;TOTAL;Total Score;70.35
KANWIL DENPASAR; AREA DOMPU;CPS PASAR GINTE;cabang;TOTAL;Total Score;80.35
KANWIL BANDUNG; AREA TASIKMALAYA;CPS GUNTUR GARUT;cabang;TOTAL;Total Score;87.97
KANWIL BANDUNG; AREA TASIKMALAYA;CP GARUT;cabang;TOTAL;Total Score;86.58
KANWIL BANDUNG; AREA TASIKMALAYA;CP CIBATU;cabang;TOTAL;Total Score;76.83
KANWIL DENPASAR; AREA DENPASAR 2;CP GIANYAR;cabang;TOTAL;Total Score;86.78
KANWIL DENPASAR; AREA DENPASAR 2;CP UBUD;cabang;TOTAL;Total Score;87.31
KANWIL MANADO; AREA GORONTALO;CPS GORONTALO;cabang;TOTAL;Total Score;64.06
KANWIL MANADO; AREA GORONTALO;CP GORONTALO UTARA;cabang;TOTAL;Total Score;69.87
KANWIL MANADO; AREA GORONTALO;CP LIMBOTO;cabang;TOTAL;Total Score;74.15
KANWIL MANADO; AREA GORONTALO;CP GORONTALO SELATAN;cabang;TOTAL;Total Score;55.95
KANWIL MANADO; AREA GORONTALO;CP GORONTALO SENTRAL;cabang;TOTAL;Total Score;76.82
KANWIL SURABAYA; AREA SURABAYA 1;CP SEDAYU;cabang;TOTAL;Total Score;87.83
KANWIL SURABAYA; AREA SURABAYA 1;CP GRESIK;cabang;TOTAL;Total Score;82.61
KANWIL SURABAYA; AREA SURABAYA 1;CPS KEBOMAS;cabang;TOTAL;Total Score;86.7
KANWIL SEMARANG; AREA PATI;CP PURWODADI;cabang;TOTAL;Total Score;80.11
KANWIL SEMARANG; AREA PATI;CP GUBUG;cabang;TOTAL;Total Score;73.64
KANWIL MEDAN; AREA MEDAN 2;CP GUNUNG SITOLI;cabang;TOTAL;Total Score;84.41
KANWIL BANDUNG; AREA CIREBON;CPS PASARBARU;cabang;TOTAL;Total Score;88.62
KANWIL BANDUNG; AREA CIREBON;CP ANJATAN;cabang;TOTAL;Total Score;77.37
KANWIL BANDUNG; AREA CIREBON;CP JATIBARANG;cabang;TOTAL;Total Score;76.92
KANWIL BANDUNG; AREA CIREBON;CP KARANGAMPEL;cabang;TOTAL;Total Score;76.03
KANWIL BANDUNG; AREA CIREBON;CP INDRAMAYU;cabang;TOTAL;Total Score;75.87
KANWIL JAKARTA 2; AREA KALIDERES;CP MERUYA;cabang;TOTAL;Total Score;80.72
KANWIL JAKARTA 2; AREA KALIDERES;CP KEMANDORAN;cabang;TOTAL;Total Score;78.08
KANWIL JAKARTA 2; AREA KALIDERES;CP KALIDERES;cabang;TOTAL;Total Score;87.9
KANWIL JAKARTA 2; AREA KALIDERES;CP CENGKARENG;cabang;TOTAL;Total Score;68.68
KANWIL JAKARTA 1; AREA SENEN;CP PASAR BARU;cabang;TOTAL;Total Score;84.97
KANWIL JAKARTA 1; AREA SENEN;CP CEMPAKA PUTIH;cabang;TOTAL;Total Score;85.01
KANWIL JAKARTA 1; AREA SENEN;CP ITC CEMPAKA MAS;cabang;TOTAL;Total Score;84.31
KANWIL JAKARTA 1; AREA SENEN;CP PASAR SENEN;cabang;TOTAL;Total Score;85.67
KANWIL JAKARTA 2; AREA KEBAYORAN BARU;CP PASAR MINGGU;cabang;TOTAL;Total Score;84.28
KANWIL JAKARTA 2; AREA KEBAYORAN BARU;CP TEBET;cabang;TOTAL;Total Score;78.56
KANWIL JAKARTA 2; AREA KEBAYORAN BARU;CP KEBAYORAN LAMA;cabang;TOTAL;Total Score;79.3
KANWIL JAKARTA 2; AREA KEBAYORAN BARU;CP RADIO DALAM;cabang;TOTAL;Total Score;89.71
KANWIL JAKARTA 2; AREA KEBAYORAN BARU;CP KEBAYORAN BARU;cabang;TOTAL;Total Score;86.58
KANWIL JAKARTA 2; AREA CIRENDEU;CP PONDOK PINANG;cabang;TOTAL;Total Score;89.96
KANWIL JAKARTA 2; AREA KEBAYORAN BARU;CPS KEMANG SELATAN;cabang;TOTAL;Total Score;81.09
KANWIL JAKARTA 2; AREA KEBAYORAN BARU;CP BLOK A;cabang;TOTAL;Total Score;88.12
KANWIL JAKARTA 2; AREA CIRENDEU;CP PONDOK LABU;cabang;TOTAL;Total Score;85.81
KANWIL JAKARTA 2; AREA KEBAYORAN BARU;CP MALL AMBASSADOR;cabang;TOTAL;Total Score;84.77
KANWIL JAKARTA 2; AREA KEBAYORAN BARU;CP PASAR RUMPUT;cabang;TOTAL;Total Score;85
KANWIL JAKARTA 2; AREA CIRENDEU;CPS CINERE;cabang;TOTAL;Total Score;88.15
KANWIL JAKARTA 2; AREA KEBAYORAN BARU;CP KALIBATA;cabang;TOTAL;Total Score;79.44
KANWIL JAKARTA 1; AREA KRAMATJATI;CP BUARAN;cabang;TOTAL;Total Score;71.77
KANWIL JAKARTA 1; AREA KRAMATJATI;CP CIBUBUR;cabang;TOTAL;Total Score;81.89
KANWIL JAKARTA 1; AREA KRAMATJATI;CP PONDOK KELAPA;cabang;TOTAL;Total Score;82.28
KANWIL JAKARTA 1; AREA KRAMATJATI;CP RAWAMANGUN;cabang;TOTAL;Total Score;73.75
KANWIL JAKARTA 1; AREA JATIWARINGIN;CP PONDOK BAMBU;cabang;TOTAL;Total Score;73.3
KANWIL JAKARTA 1; AREA KRAMATJATI;CPS DEWI SARTIKA;cabang;TOTAL;Total Score;85.44
KANWIL JAKARTA 2; AREA TANJUNG PRIUK;CP SUNTER;cabang;TOTAL;Total Score;84.74
KANWIL JAKARTA 2; AREA TANJUNG PRIUK;CP TANJUNG PRIOK;cabang;TOTAL;Total Score;74.82
KANWIL JAKARTA 2; AREA TANJUNG PRIUK;CP GUNUNG SAHARI;cabang;TOTAL;Total Score;90.38
KANWIL JAKARTA 2; AREA TANJUNG PRIUK;CP MUARA KARANG;cabang;TOTAL;Total Score;80.86
KANWIL PALEMBANG; AREA JAMBI;CP SIMPANG PULAI;cabang;TOTAL;Total Score;78.53
KANWIL MANADO; AREA JAYAPURA;CP ABEPURA;cabang;TOTAL;Total Score;78.62
KANWIL SURABAYA; AREA JEMBER;CPS A YANI;cabang;TOTAL;Total Score;76.22
KANWIL SURABAYA; AREA JEMBER;CP TEGALBOTO;cabang;TOTAL;Total Score;74.45
KANWIL SURABAYA; AREA JEMBER;CP JEMBER;cabang;TOTAL;Total Score;77.35
KANWIL DENPASAR; AREA DENPASAR;CP NEGARA;cabang;TOTAL;Total Score;83.39
KANWIL MAKASAR; AREA MAKASAR 2;CP BANGKALA;cabang;TOTAL;Total Score;93.48
KANWIL MAKASAR; AREA BANTAENG;CP JENEPONTO;cabang;TOTAL;Total Score;91.65
KANWIL SURABAYA; AREA MADIUN;CP JOMBANG;cabang;TOTAL;Total Score;85
KANWIL SURABAYA; AREA MADIUN;CPS PASAR LEGI;cabang;TOTAL;Total Score;92.03
KANWIL DENPASAR; AREA DENPASAR 2;CP AMLAPURA;cabang;TOTAL;Total Score;88.21
KANWIL JAKARTA 1; AREA BEKASI;CP KARAWANG;cabang;TOTAL;Total Score;78.88
KANWIL BANDUNG; AREA BANDUNG 2;CP CIKAMPEK;cabang;TOTAL;Total Score;75.29
KANWIL PEKANBARU; AREA BATAM;CP TANJUNG BALAI KARIMUN;cabang;TOTAL;Total Score;91.06
KANWIL MEDAN; AREA MEDAN 1;CP KABANJAHE;cabang;TOTAL;Total Score;77.24
KANWIL SURABAYA; AREA MADIUN;CP KEDIRI;cabang;TOTAL;Total Score;87.96
KANWIL SEMARANG; AREA SEMARANG;CP KENDAL;cabang;TOTAL;Total Score;79.86
KANWIL MAKASAR; AREA KENDARI;CP WUA WUA;cabang;TOTAL;Total Score;76.74
KANWIL MAKASAR; AREA KENDARI;CPS KENDARI;cabang;TOTAL;Total Score;83.24
KANWIL MAKASAR; AREA KENDARI;CP KENDARI;cabang;TOTAL;Total Score;76.02
KANWIL MAKASAR; AREA KENDARI;CP MANDONGA;cabang;TOTAL;Total Score;67.91
KANWIL MANADO; AREA MANADO 1;CP TAHUNA;cabang;TOTAL;Total Score;99.98
KANWIL SEMARANG; AREA SURAKARTA;CP KLATEN;cabang;TOTAL;Total Score;76.23
KANWIL DENPASAR; AREA DENPASAR 2;CP SEMARAPURA;cabang;TOTAL;Total Score;89.09
KANWIL MAKASAR; AREA KENDARI;CP KOLAKA;cabang;TOTAL;Total Score;70.14
KANWIL MAKASAR; AREA KENDARI;CP POMALAA;cabang;TOTAL;Total Score;87.18
KANWIL MANADO; AREA GORONTALO;CP MOLINOW;cabang;TOTAL;Total Score;65.9
KANWIL MANADO; AREA GORONTALO;CPS DATOE BINANGKANG;cabang;TOTAL;Total Score;87.44
KANWIL MANADO; AREA GORONTALO;CP KOTAMOBAGU;cabang;TOTAL;Total Score;76.19
KANWIL BALIKPAPAN; AREA BANJARMASIN;CP PANGKALAN BUN;cabang;TOTAL;Total Score;85.79
KANWIL SEMARANG; AREA PATI;CP KUDUS;cabang;TOTAL;Total Score;60.34
KANWIL SEMARANG; AREA YOGYAKARTA;CP JOGOYUDAN;cabang;TOTAL;Total Score;73.27
KANWIL BALIKPAPAN; AREA SAMARINDA;CP MELAK;cabang;TOTAL;Total Score;71.56
KANWIL MEDAN; AREA RANTAU PRAPAT;CP RANTAU PRAPAT;cabang;TOTAL;Total Score;85.4
KANWIL MEDAN; AREA RANTAU PRAPAT;CPS RANTAU PRAPAT;cabang;TOTAL;Total Score;93.34
KANWIL PALEMBANG; AREA PALEMBANG;CP LAHAT;cabang;TOTAL;Total Score;74.57
KANWIL PALEMBANG; AREA LAMPUNG;CP KOTABUMI;cabang;TOTAL;Total Score;82.89
KANWIL MEDAN; AREA MEDAN 1;CP PKL BRANDAN;cabang;TOTAL;Total Score;77.23
KANWIL MEDAN; AREA MEDAN 1;CP TANJUNG PURA;cabang;TOTAL;Total Score;91.89
KANWIL DENPASAR; AREA AMPENAN;CP GERUNG;cabang;TOTAL;Total Score;69.2
KANWIL DENPASAR; AREA AMPENAN;CP KOPANG;cabang;TOTAL;Total Score;74.93
KANWIL DENPASAR; AREA AMPENAN;CP SAKRA;cabang;TOTAL;Total Score;81.8
KANWIL DENPASAR; AREA AMPENAN;CP SELONG;cabang;TOTAL;Total Score;77.27
KANWIL DENPASAR; AREA AMPENAN;CP KRUAK;cabang;TOTAL;Total Score;84.83
KANWIL DENPASAR; AREA AMPENAN;CP AIKMEL;cabang;TOTAL;Total Score;81.3
KANWIL DENPASAR; AREA AMPENAN;CP TANJUNG LOR;cabang;TOTAL;Total Score;75.26
KANWIL PALEMBANG; AREA JAMBI;CP LUBUK LINGGAU;cabang;TOTAL;Total Score;89.99
KANWIL MAKASAR; AREA PALOPO;CP MALILI;cabang;TOTAL;Total Score;73.66
KANWIL MAKASAR; AREA PALOPO;CP MASAMBA;cabang;TOTAL;Total Score;68.76
KANWIL SURABAYA; AREA MADIUN;CP MADIUN;cabang;TOTAL;Total Score;90.58
KANWIL SEMARANG; AREA YOGYAKARTA;CP MAGELANG;cabang;TOTAL;Total Score;84.61
KANWIL BANDUNG; AREA TASIKMALAYA;CP JATIWANGI;cabang;TOTAL;Total Score;82.19
KANWIL BANDUNG; AREA TASIKMALAYA;CP MAJALENGKA;cabang;TOTAL;Total Score;85.1
KANWIL MAKASAR; AREA MAKASAR 1;CP SUDIANG;cabang;TOTAL;Total Score;67.28
KANWIL MAKASAR; AREA MAKASAR 1;CP PELITA;cabang;TOTAL;Total Score;70.18
KANWIL MAKASAR; AREA MAKASAR 2;CP MAKASSAR;cabang;TOTAL;Total Score;74.78
KANWIL MAKASAR; AREA MAKASAR 2;CP PARANGTAMBUNG;cabang;TOTAL;Total Score;86.83
KANWIL MAKASAR; AREA MAKASAR 2;CP PABAENGBAENG;cabang;TOTAL;Total Score;75.48
KANWIL MAKASAR; AREA MAKASAR 2;CP PANAKKUKANG;cabang;TOTAL;Total Score;84.17
KANWIL MAKASAR; AREA MAKASAR 1;CP ANTANG;cabang;TOTAL;Total Score;69.04
KANWIL MAKASAR; AREA MAKASAR 1;CP MALIMONGAN BARU;cabang;TOTAL;Total Score;76.97
KANWIL SURABAYA; AREA MALANG;CP KOTALAMA;cabang;TOTAL;Total Score;84.59
KANWIL SURABAYA; AREA MALANG;CP TLOGOMAS;cabang;TOTAL;Total Score;79.07
KANWIL SURABAYA; AREA MALANG;CP MALANG;cabang;TOTAL;Total Score;68.13
KANWIL SURABAYA; AREA MALANG;CP KEPANJEN;cabang;TOTAL;Total Score;87.73
KANWIL MAKASAR; AREA AMBON;CP MASOHI;cabang;TOTAL;Total Score;73.58
KANWIL MANADO; AREA MANADO 1;CP MALALAYANG;cabang;TOTAL;Total Score;95.51
KANWIL MANADO; AREA MANADO 1;CP MANADO UTARA;cabang;TOTAL;Total Score;78.02
KANWIL DENPASAR; AREA ENDE;CP RUTENG;cabang;TOTAL;Total Score;78.63
KANWIL DENPASAR; AREA ENDE;CP LABUAN BAJO;cabang;TOTAL;Total Score;76.99
KANWIL MANADO; AREA SORONG;CP MANOKWARI;cabang;TOTAL;Total Score;69.9
KANWIL MAKASAR; AREA MAKASAR 1;CP MAROS;cabang;TOTAL;Total Score;69.79
KANWIL DENPASAR; AREA AMPENAN;CP MATARAM;cabang;TOTAL;Total Score;81
KANWIL DENPASAR; AREA AMPENAN;CP AMPENAN;cabang;TOTAL;Total Score;82.5
KANWIL DENPASAR; AREA AMPENAN;CP SWETA;cabang;TOTAL;Total Score;77.17
KANWIL MEDAN; AREA MEDAN 1;CP HELVETIA;cabang;TOTAL;Total Score;81.32
KANWIL MEDAN; AREA MEDAN 2;CP PADANG BULAN;cabang;TOTAL;Total Score;64.82
KANWIL MEDAN; AREA MEDAN 1;CP MEDAN SUNGGAL;cabang;TOTAL;Total Score;75.08
KANWIL MEDAN; AREA MEDAN 1;CP KP LALANG;cabang;TOTAL;Total Score;76.56
KANWIL MEDAN; AREA MEDAN 2;CPS SETIA BUDI;cabang;TOTAL;Total Score;80.07
KANWIL MEDAN; AREA MEDAN 1;CP MEDAN KARYA;cabang;TOTAL;Total Score;90.5
KANWIL MEDAN; AREA MEDAN 1;CP MEDAN PETISAH;cabang;TOTAL;Total Score;80.64
KANWIL MEDAN; AREA MEDAN 2;CP PRINGGAN;cabang;TOTAL;Total Score;80.21
KANWIL MEDAN; AREA MEDAN 2;CP SETIA BUDI;cabang;TOTAL;Total Score;72.87
KANWIL MEDAN; AREA MEDAN 1;CP KRAKATAU;cabang;TOTAL;Total Score;77.8
KANWIL MEDAN; AREA MEDAN 1;CP GAHARU;cabang;TOTAL;Total Score;80.45
KANWIL MEDAN; AREA MEDAN 2;CP SIMPANG LIMUN;cabang;TOTAL;Total Score;80.28
KANWIL MEDAN; AREA MEDAN 1;CP PULO BRAYAN;cabang;TOTAL;Total Score;74.07
KANWIL MEDAN; AREA MEDAN 2;CP MANDALA;cabang;TOTAL;Total Score;72.04
KANWIL MANADO; AREA SORONG;CP TIMIKA;cabang;TOTAL;Total Score;82.72
KANWIL MANADO; AREA MANADO 2;CP AIRMADIDI;cabang;TOTAL;Total Score;94.55
KANWIL MAKASAR; AREA KENDARI;CP RAHA;cabang;TOTAL;Total Score;83.93
KANWIL BANDUNG; AREA BANDUNG 2;CPS MAJALAYA;cabang;TOTAL;Total Score;89.85
KANWIL PEKANBARU; AREA PADANG;CPS UJUNG GURUN;cabang;TOTAL;Total Score;62.5
KANWIL BALIKPAPAN; AREA BANJARMASIN;CP PALANGKARAYA;cabang;TOTAL;Total Score;73.91
KANWIL PALEMBANG; AREA PALEMBANG;CP JAKABARING;cabang;TOTAL;Total Score;77.68
KANWIL PALEMBANG; AREA PALEMBANG;CP KENTEN;cabang;TOTAL;Total Score;77.75
KANWIL MAKASAR; AREA PALOPO;CP PASAR SENTRAL PALOPO;cabang;TOTAL;Total Score;74.05
KANWIL MAKASAR; AREA PALOPO;CP PALOPO;cabang;TOTAL;Total Score;72.5
KANWIL MAKASAR; AREA PALOPO;CPS L U W U;cabang;TOTAL;Total Score;74.41
KANWIL PALEMBANG; AREA PALEMBANG;CP PANGKAL PINANG;cabang;TOTAL;Total Score;80.68
KANWIL MAKASAR; AREA PARE-PARE;CP PARE PARE;cabang;TOTAL;Total Score;75.08
KANWIL SURABAYA; AREA PROBOLINGGO;CP PASURUAN;cabang;TOTAL;Total Score;64.57
KANWIL SURABAYA; AREA PROBOLINGGO;CP PANDAAN;cabang;TOTAL;Total Score;81.65
KANWIL SEMARANG; AREA TEGAL;CPS PONOLAWEN;cabang;TOTAL;Total Score;86.91
KANWIL SEMARANG; AREA TEGAL;CP PEKALONGAN;cabang;TOTAL;Total Score;79.29
KANWIL PEKANBARU; AREA PEKANBARU;CP PEKANBARU KOTA;cabang;TOTAL;Total Score;79.9
KANWIL PEKANBARU; AREA PEKANBARU;CP PANAM;cabang;TOTAL;Total Score;86.19
KANWIL PEKANBARU; AREA PEKANBARU;CP PANGKALAN KERINCI;cabang;TOTAL;Total Score;81.7
KANWIL SEMARANG; AREA TEGAL;CP PEMALANG;cabang;TOTAL;Total Score;72.4
KANWIL MAKASAR; AREA PARE-PARE;CP PINRANG;cabang;TOTAL;Total Score;68.06
KANWIL MAKASAR; AREA PARE-PARE;CP WONOMULYO;cabang;TOTAL;Total Score;66.33
KANWIL MAKASAR; AREA PARE-PARE;CP POLEWALI;cabang;TOTAL;Total Score;68.03
KANWIL BALIKPAPAN; AREA PONTIANAK;CP SUNGAI JAWI;cabang;TOTAL;Total Score;78.23
KANWIL BALIKPAPAN; AREA PONTIANAK;CP KEMUNING;cabang;TOTAL;Total Score;82.86
KANWIL BALIKPAPAN; AREA PONTIANAK;CP MEMPAWAH;cabang;TOTAL;Total Score;70.18
KANWIL PALEMBANG; AREA PALEMBANG;CP PRABUMULIH;cabang;TOTAL;Total Score;78.67
KANWIL SEMARANG; AREA PURWOKERTO;CP PURBALINGGA;cabang;TOTAL;Total Score;92.67
KANWIL SEMARANG; AREA PATI;CP REMBANG;cabang;TOTAL;Total Score;89.45
KANWIL SEMARANG; AREA SEMARANG;CP SALATIGA SELATAN;cabang;TOTAL;Total Score;80.37
KANWIL BALIKPAPAN; AREA SAMARINDA;CP MARTADINATA;cabang;TOTAL;Total Score;80.29
KANWIL BALIKPAPAN; AREA SAMARINDA;CP SAMARINDA SEBERANG;cabang;TOTAL;Total Score;90.2
KANWIL BALIKPAPAN; AREA SAMARINDA;CP SEMPAJA;cabang;TOTAL;Total Score;82
KANWIL BALIKPAPAN; AREA SAMARINDA;CP SUNGAI PINANG;cabang;TOTAL;Total Score;83.1
KANWIL SURABAYA; AREA PAMEKASAN;CPS SAMPANG;cabang;TOTAL;Total Score;90.86
KANWIL SURABAYA; AREA PAMEKASAN;CPS SAMPANG KOTA;cabang;TOTAL;Total Score;89.16
KANWIL SURABAYA; AREA PAMEKASAN;UPS KETAPANG;cabang;TOTAL;Total Score;83.39
KANWIL MAKASAR; AREA BANTAENG;CP SELAYAR;cabang;TOTAL;Total Score;97.27
KANWIL SEMARANG; AREA SEMARANG;CP KARANGTURI;cabang;TOTAL;Total Score;76.29
KANWIL SEMARANG; AREA SEMARANG;CPS KALIGARANG;cabang;TOTAL;Total Score;75.97
KANWIL SEMARANG; AREA SEMARANG;CP PONCOL;cabang;TOTAL;Total Score;70.32
KANWIL SEMARANG; AREA SEMARANG;CP NGALIYAN;cabang;TOTAL;Total Score;80.79
KANWIL SEMARANG; AREA SEMARANG;CP KALIBANTENG;cabang;TOTAL;Total Score;80.91
KANWIL SEMARANG; AREA SEMARANG;CP BANYUMANIK;cabang;TOTAL;Total Score;81.96
KANWIL MEDAN; AREA MEDAN 2;CP PERBAUNGAN;cabang;TOTAL;Total Score;73.88
KANWIL SURABAYA; AREA SURABAYA 2;CP SEPANJANG;cabang;TOTAL;Total Score;87.64
KANWIL SURABAYA; AREA SURABAYA 2;CPS SIDOARJO;cabang;TOTAL;Total Score;91.02
KANWIL SURABAYA; AREA SURABAYA 2;CP GEDANGAN;cabang;TOTAL;Total Score;82.22
