REGION;AREA;CABANG;TIPE;Total Skor ;Total Satpam (KONDISI 1);Total Keberadaan Satpam;Total Penaksir (KONDISI 1);Total Kasir (KONDISI 1)
KANWIL PALEMBANG;AREA PALEMBANG;CPS SIMPANG PATAL;SYARIAH;81;100;100;79,17;83,29
KANWIL PALEMBANG;AREA JAMBI;CP CURUP;KONVEN;77;97,22;100;71,47;61,55
KANWIL PEKANBARU;AREA BATAM;CP TANJUNGPINANG TIMUR;KONVEN;91;92,36;100;93,06;84,9
KANWIL PEKANBARU;AREA PEKANBARU;CP PANGKALAN KERINCI;KONVEN;83;100;100;90,28;77,2
KANWIL PEKANBARU;AREA BATAM;CP TANJUNG BALAI KARIMUN;KONVEN;91;91,11;100;94,29;90,95
KANWIL PEKANBARU;AREA BATAM;CPS SEI PANAS;SYARIAH;88;100;100;83,33;80,2
KANWIL PEKANBARU;AREA BATAM;CP TANJUNG PINANG;KONVEN;81;93,75;100;80,56;86,43
KANWIL PEKANBARU;AREA PEKANBARU;CP PEKANBARU KOTA;KONVEN;84;85,83;100;84,72;81,09
KANWIL PEKANBARU;AREA PEKANBARU;CP PASAR KODIM;KONVEN;80;80,56;75;75;76,92
KANWIL PEKANBARU;AREA PEKANBARU;CP PANAM;KONVEN;79;100;100;75;75,95
KANWIL PEKANBARU;AREA PEKANBARU;CPS SUBRANTAS;SYARIAH;82;93,75;100;81,94;81,09
KANWIL PEKANBARU;AREA BATAM;CP SEI JODOH;KONVEN;88;97,92;100;86,11;83,59
KANWIL PEKANBARU;AREA BATAM;CP BUKIT BESTARI;KONVEN;82;90,69;100;79,8;78,29
KANWIL PEKANBARU;AREA BATAM;CP BENGKONG;KONVEN;88;100;100;91,67;79,56
KANWIL PEKANBARU;AREA BATAM;CP BATU AJI;KONVEN;89;90,28;100;84,4;86,67
KANWIL PEKANBARU;AREA BATAM;CP CIPTA PURI;KONVEN;96;95;100;95,83;95,95
KANWIL PEKANBARU;AREA PEKANBARU;CPS AHMAD YANI;SYARIAH;89;98,61;100;90,28;82,2
KANWIL PEKANBARU;AREA BATAM;CPS KARINA;SYARIAH;89;93,06;100;91,07;85,91
KANWIL PEKANBARU;AREA PEKANBARU;CP DURI;KONVEN;81;95,83;100;87,5;72,8
KANWIL PEKANBARU;AREA PEKANBARU;CP DUMAI;KONVEN;88;90,69;100;90,28;78,87
KANWIL PEKANBARU;AREA BATAM;CP MEGA LEGENDA;KONVEN;86;85,14;100;91,67;80,4
KANWIL PEKANBARU;AREA PADANG;CP SOLOK;KONVEN;71;82,78;100;79,17;66,69
KANWIL PEKANBARU;AREA BATAM;CP NAGOYA;KONVEN;89;92,5;100;95,24;84,19
KANWIL PEKANBARU;AREA PADANG;CP SUNGAI PENUH;KONVEN;95;93,33;100;100;95,6
KANWIL PALEMBANG;AREA JAMBI;CPS SIMPANG SEKIP;SYARIAH;81;89,17;75;81,39;83,49
KANWIL PEKANBARU;AREA PADANG;CP BUKIT TINGGI;KONVEN;68;96,67;100;94,44;51,19
